Date,Open,High,Low,Close,Adj Close,Volume
2019-07-01,4.230000,4.490000,4.210000,4.290000,4.290000,15100
2019-07-02,4.350000,4.470000,4.290000,4.350000,4.350000,21900
2019-07-03,4.350000,4.500000,4.350000,4.500000,4.500000,4100
2019-07-05,4.500000,4.570000,4.370000,4.550000,4.550000,22400
2019-07-08,4.620000,4.700000,4.410000,4.690000,4.690000,25700
2019-07-09,4.660000,4.690000,4.450000,4.600000,4.600000,17900
2019-07-10,4.560000,4.730000,4.560000,4.730000,4.730000,11000
2019-07-11,4.690000,4.690000,4.490000,4.610000,4.610000,5800
2019-07-12,4.550000,4.630000,4.500000,4.500000,4.500000,7100
2019-07-15,4.530000,4.550000,4.500000,4.550000,4.550000,4500
2019-07-16,4.590000,4.600000,4.590000,4.590000,4.590000,1100
2019-07-17,4.560000,4.560000,4.350000,4.510000,4.510000,21400
2019-07-18,4.660000,4.660000,4.600000,4.600000,4.600000,5300
2019-07-19,4.600000,4.600000,4.600000,4.600000,4.600000,200
2019-07-22,4.600000,4.600000,4.600000,4.600000,4.600000,100
2019-07-23,4.540000,4.540000,4.460000,4.460000,4.460000,3300
2019-07-24,4.520000,4.530000,4.420000,4.450000,4.450000,20500
2019-07-25,4.450000,4.480000,4.450000,4.480000,4.480000,2400
2019-07-26,4.450000,4.550000,4.450000,4.480000,4.480000,3500
2019-07-29,4.490000,4.650000,4.490000,4.490000,4.490000,24600
2019-07-30,4.460000,4.690000,4.370000,4.370000,4.370000,4600
2019-07-31,4.350000,4.600000,3.930000,4.410000,4.410000,12600
2019-08-01,4.300000,4.460000,4.300000,4.320000,4.320000,3900
2019-08-02,4.300000,4.460000,4.140000,4.250000,4.250000,16200
2019-08-05,4.130000,4.240000,4.070000,4.240000,4.240000,16900
2019-08-06,4.150000,4.200000,4.070000,4.200000,4.200000,10700
2019-08-07,4.020000,4.170000,3.880000,4.170000,4.170000,4400
2019-08-08,4.100000,4.250000,3.930000,4.230000,4.230000,6200
2019-08-09,4.090000,4.090000,3.870000,4.080000,4.080000,11500
2019-08-12,4.250000,5.000000,3.900000,5.000000,5.000000,27300
2019-08-13,5.000000,5.000000,3.850000,4.000000,4.000000,164100
2019-08-14,3.970000,3.970000,3.550000,3.610000,3.610000,27800
2019-08-15,3.640000,3.900000,3.310000,3.410000,3.410000,46200
2019-08-16,3.670000,3.670000,3.450000,3.600000,3.600000,24200
2019-08-19,3.620000,3.760000,3.300000,3.300000,3.300000,34900
2019-08-20,3.290000,3.900000,3.290000,3.400000,3.400000,20600
2019-08-21,3.410000,3.510000,3.250000,3.300000,3.300000,44700
